Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-05,03:00:00,2434.38,2434.75,2433,2434,0,0
2017-06-05,04:00:00,2433.75,2435.5,2433.75,2434.25,0,0
2017-06-05,05:00:00,2434.75,2435.75,2434.5,2435.25,0,0
2017-06-05,06:00:00,2435.75,2435.75,2434.75,2435.25,0,0
2017-06-05,07:00:00,2435.75,2436,2435.25,2435.5,0,0
2017-06-05,08:00:00,2436,2436.5,2435.25,2436,0,0
2017-06-05,09:00:00,2436,2436.25,2435,2435.5,0,0
2017-06-05,10:00:00,2435.75,2436.5,2434.75,2435.75,0,0
2017-06-05,11:00:00,2436,2436.75,2435.25,2436,0,0
2017-06-05,12:00:00,2436.25,2437.5,2435.5,2436.25,0,0
2017-06-05,13:00:00,2436.25,2436.75,2435.25,2435.25,0,0
2017-06-05,14:00:00,2435,2436,2434.5,2434.5,0,0
2017-06-05,15:00:00,2434.5,2435.75,2434.5,2435,0,0
2017-06-05,16:00:00,2435.25,2437.38,2433.75,2437,0,0
2017-06-05,17:00:00,2437,2439,2437,2437,0,0
2017-06-05,18:00:00,2437,2437.25,2434.75,2437,0,0
2017-06-05,19:00:00,2437,2438.5,2436,2436.75,0,0
2017-06-05,20:00:00,2437.25,2438.5,2436.5,2436.75,0,0
2017-06-05,21:00:00,2436.75,2437.75,2436.25,2437,0,0
2017-06-05,22:00:00,2437,2438,2435,2435.25,0,0
2017-06-05,23:00:00,2435.25,2435.75,2434.25,2435,0,0
2017-06-06,01:00:00,2434,2435,2434,2434.75,0,0
2017-06-06,02:00:00,2434.88,2435,2434.5,2434.75,0,0
2017-06-06,03:00:00,2434.5,2435,2432.5,2432.75,0,0
2017-06-06,04:00:00,2433,2433.25,2431.75,2433,0,0
2017-06-06,05:00:00,2432.75,2433,2432.25,2432.5,0,0
2017-06-06,06:00:00,2432.25,2433,2432,2432.5,0,0
2017-06-06,07:00:00,2432.75,2433.25,2432.5,2432.75,0,0
2017-06-06,08:00:00,2433.25,2433.25,2431,2431.25,0,0
2017-06-06,09:00:00,2431.75,2431.75,2429.5,2430.75,0,0
2017-06-06,10:00:00,2430.5,2432.25,2429.5,2431.75,0,0
2017-06-06,11:00:00,2431.75,2432.75,2430.5,2432,0,0
2017-06-06,12:00:00,2432,2432.75,2430.5,2431.5,0,0
2017-06-06,13:00:00,2432,2432,2429.75,2429.75,0,0
2017-06-06,14:00:00,2430.25,2430.25,2426.5,2428.25,0,0
2017-06-06,15:00:00,2428.25,2429.25,2427.75,2428.75,0,0
2017-06-06,16:00:00,2429,2432.75,2427,2432.5,0,0
2017-06-06,17:00:00,2432.5,2434.25,2430.75,2431.5,0,0
2017-06-06,18:00:00,2431.5,2434.25,2429.75,2432.25,0,0
2017-06-06,19:00:00,2432.75,2433.25,2431.25,2432.5,0,0
2017-06-06,20:00:00,2432.75,2432.75,2430,2430.75,0,0
2017-06-06,21:00:00,2430.75,2435.5,2430.75,2435,0,0
2017-06-06,22:00:00,2435,2435.25,2427.75,2428.75,0,0
2017-06-06,23:00:00,2428.75,2431,2428.75,2429.75,0,0
2017-06-07,01:00:00,2429.5,2431,2429.5,2430.75,0,0
2017-06-07,02:00:00,2430.5,2431,2430,2431,0,0
2017-06-07,03:00:00,2430.75,2432,2430.5,2431.5,0,0
2017-06-07,04:00:00,2431.5,2432.75,2431.5,2431.75,0,0
2017-06-07,05:00:00,2432.25,2432.75,2431.75,2432,0,0
2017-06-07,06:00:00,2432.25,2432.5,2432.25,2432.25,0,0
2017-06-07,07:00:00,2432.75,2433.25,2432.5,2432.75,0,0
2017-06-07,08:00:00,2432.5,2432.5,2431.75,2432.5,0,0
2017-06-07,09:00:00,2432.5,2432.5,2430.5,2431,0,0
2017-06-07,10:00:00,2430.75,2431.75,2428.25,2431.5,0,0
2017-06-07,11:00:00,2431.5,2431.5,2429,2429.75,0,0
2017-06-07,12:00:00,2429.5,2430.5,2429.25,2430,0,0
2017-06-07,13:00:00,2430.5,2432.5,2430,2431,0,0
2017-06-07,14:00:00,2430.75,2432.75,2430.5,2432.5,0,0
2017-06-07,15:00:00,2432.25,2432.75,2431.25,2431.75,0,0
2017-06-07,16:00:00,2431.75,2433.75,2430.62,2432.75,0,0
2017-06-07,17:00:00,2432.75,2434.25,2427.5,2430,0,0
2017-06-07,18:00:00,2430.5,2432,2428.5,2430.5,0,0
2017-06-07,19:00:00,2430.5,2430.5,2424.25,2427,0,0
2017-06-07,20:00:00,2427,2431.25,2426.25,2430.5,0,0
2017-06-07,21:00:00,2430.5,2433.5,2430,2432.25,0,0
2017-06-07,22:00:00,2432.25,2434.5,2431,2432,0,0
2017-06-07,23:00:00,2432,2432.5,2430.5,2432,0,0
2017-06-08,01:00:00,2431.75,2432.25,2431,2431.25,0,0
2017-06-08,02:00:00,2431.75,2432,2430.5,2431.75,0,0
2017-06-08,03:00:00,2432.25,2432.25,2430.75,2431.25,0,0
2017-06-08,04:00:00,2431.5,2431.75,2431,2431.5,0,0
2017-06-08,05:00:00,2431.75,2432.75,2431.25,2432.25,0,0
2017-06-08,06:00:00,2432.75,2434.5,2432.5,2434,0,0
2017-06-08,07:00:00,2434.25,2434.25,2433,2433.75,0,0
2017-06-08,08:00:00,2433.5,2433.75,2432.38,2432.5,0,0
2017-06-08,09:00:00,2433,2434,2432.25,2433.25,0,0
2017-06-08,10:00:00,2433.38,2435.25,2432.75,2434,0,0
2017-06-08,11:00:00,2434.25,2434.25,2432.5,2433,0,0
2017-06-08,12:00:00,2433.5,2435,2433.25,2434.25,0,0
2017-06-08,13:00:00,2434.5,2436.5,2433.75,2435.75,0,0
2017-06-08,14:00:00,2436.25,2436.5,2434,2434.5,0,0
2017-06-08,15:00:00,2434.5,2434.5,2432.75,2433.5,0,0
2017-06-08,16:00:00,2433.5,2435.75,2428.75,2431.5,0,0
2017-06-08,17:00:00,2431.5,2433.5,2428.25,2431,0,0
2017-06-08,18:00:00,2431,2434.75,2431,2434.25,0,0
2017-06-08,19:00:00,2434.25,2439,2434,2437.5,0,0
2017-06-08,20:00:00,2437.5,2437.5,2432,2435.25,0,0
2017-06-08,21:00:00,2435.25,2435.75,2427.75,2429,0,0
2017-06-08,22:00:00,2429.5,2434,2429,2433.75,0,0
2017-06-08,23:00:00,2433.75,2434.75,2431.75,2434.25,0,0
2017-06-08,23:59:00,2434.25,2434.25,2434.25,2434.25,0,0
2017-06-09,01:00:00,2428.25,2430.75,2426.25,2429.5,0,0
2017-06-09,02:00:00,2429.25,2429.75,2427.5,2427.75,0,0
2017-06-09,03:00:00,2427.75,2431.5,2427.5,2430,0,0
2017-06-09,04:00:00,2430.5,2434.5,2430,2434.5,0,0
2017-06-09,05:00:00,2434.5,2436.5,2433.75,2435.5,0,0
2017-06-09,06:00:00,2435.25,2435.75,2434.5,2434.75,0,0
2017-06-09,07:00:00,2434.75,2435.12,2433.75,2434.25,0,0
2017-06-09,08:00:00,2434,2434.75,2433.75,2434.25,0,0
2017-06-09,09:00:00,2434,2435,2433.5,2434.5,0,0
2017-06-09,10:00:00,2434.5,2438,2434,2434,0,0
2017-06-09,11:00:00,2433.75,2436.5,2433.5,2435.75,0,0
2017-06-09,12:00:00,2435.75,2437,2435.5,2435.75,0,0
2017-06-09,13:00:00,2436,2436.75,2434.25,2434.5,0,0
2017-06-09,14:00:00,2434.5,2436.75,2433.75,2436.25,0,0
2017-06-09,15:00:00,2436.25,2437,2434.75,2435.25,0,0
2017-06-09,16:00:00,2435.5,2441.75,2434.75,2440.5,0,0
2017-06-09,17:00:00,2440,2445.75,2439.75,2443.5,0,0
2017-06-09,18:00:00,2443.5,2445.5,2442.25,2442.25,0,0
2017-06-09,19:00:00,2442.12,2443.5,2435.5,2438.5,0,0
2017-06-09,20:00:00,2438.25,2439.5,2428.5,2428.5,0,0
2017-06-09,21:00:00,2428,2432.5,2415.25,2419.75,0,0
2017-06-09,22:00:00,2419.75,2430.75,2419.75,2430.75,0,0
2017-06-09,23:00:00,2430.75,2431.75,2429,2430.5,0,0
2017-06-12,01:00:00,2427,2428.75,2425.5,2426.25,0,0
2017-06-12,02:00:00,2426.75,2426.75,2424,2425.5,0,0
2017-06-12,03:00:00,2425.5,2427.75,2425.25,2426,0,0
2017-06-12,04:00:00,2426.25,2427.5,2425.5,2427.25,0,0
2017-06-12,05:00:00,2427.25,2428,2425.5,2425.5,0,0
2017-06-12,06:00:00,2425.25,2425.75,2424,2425,0,0
2017-06-12,07:00:00,2424.75,2425.25,2424.5,2425,0,0
2017-06-12,08:00:00,2424.75,2425.25,2424.25,2424.75,0,0
2017-06-12,09:00:00,2425.25,2425.75,2424,2425.5,0,0
2017-06-12,10:00:00,2425,2426,2423,2424.75,0,0
2017-06-12,11:00:00,2424.75,2425,2420.25,2420.75,0,0
2017-06-12,12:00:00,2420.5,2423.75,2419.75,2421.75,0,0
2017-06-12,13:00:00,2421.5,2423.5,2420.75,2422.75,0,0
2017-06-12,14:00:00,2422.75,2423.5,2421,2421.5,0,0
2017-06-12,15:00:00,2421.5,2425.75,2421.5,2424.5,0,0
2017-06-12,16:00:00,2424.25,2427.5,2418.25,2419,0,0
2017-06-12,17:00:00,2419,2424.75,2417.75,2423.5,0,0
2017-06-12,18:00:00,2423.5,2426,2421.25,2422.25,0,0
2017-06-12,19:00:00,2422.25,2423,2418,2418,0,0
2017-06-12,20:00:00,2418,2422.5,2418,2418.25,0,0
2017-06-12,21:00:00,2418.25,2424,2418.25,2423,0,0
